	ko1	ko2	ko3	wt1	wt2	wt3
1447970_at	3.51	3.43	4.75	5.1	5.22	3.4
1422688_a_at	8.6	8.59	9.84	10.49	10.31	8.73
1419333_at	5.79	5.93	7.01	7.42	7.4	5.79
1453638_at	2.43	2.6	3.71	4.39	4.43	2.61
1433324_at	2.84	3.1	4.07	4.54	4.63	2.92
1441215_at	3.93	3.94	5.34	5.88	5.97	3.94
1436014_a_at	6.02	5.93	7.32	7.95	7.98	6.03
1441811_x_at	6.13	5.51	6.71	7.4	7.49	5.47
1441590_at	2.89	3.06	4.19	4.71	4.55	2.92
1417676_a_at	3.58	3.46	4.5	4.92	5	3.29
1453878_at	3.02	3.07	4.21	4.93	4.95	3.12
1451637_a_at	2.49	2.48	3.7	4.23	4.24	2.44
1443472_at	2.8	2.7	3.97	4.39	4.45	2.67
1451846_at	2.37	2.67	3.69	4.34	4.47	2.46
1438618_at	2.66	2.47	3.79	4.48	4.3	2.6
1441896_x_at	2.6	2.62	3.81	4.17	4.41	2.61
1456295_at	2.77	2.7	3.79	4.59	4.22	2.55
1418356_at	5.14	4.78	6.12	7.03	6.89	4.93
1441601_at	2.72	2.63	4.05	4.51	4.15	2.42
1432333_a_at	3.46	3.44	4.73	5.4	5.48	3.63
1458339_at	2.44	2.19	3.71	4.25	3.99	2.48
1458634_at	6.27	6.08	7.68	7.68	7.86	6.04
1431330_at	4.12	3.8	4.9	5.62	5.6	3.87
1431603_at	3.24	2.89	4.11	5.34	4.78	3.24
1428908_at	7.29	7.49	8.56	9.23	9	7.3
1457662_x_at	2.5	2.42	3.58	4.31	4.18	2.5
1421289_at	2.99	3.08	4.36	4.92	4.63	2.98
1454735_at	9.08	9.08	10.33	10.82	10.84	8.98
1439250_at	3.24	3.17	4.39	4.98	5.03	3.32
1432292_at	3.28	3.12	4.23	5.02	4.76	3.21
1423085_at	4.28	4.3	5.49	6.2	6.17	4.36
1437606_at	5.47	5.63	7.28	7.48	7.28	5.7
1432508_at	3.52	3.49	4.56	5.12	5.03	3.45
1456574_at	4.81	4.78	6.35	7.11	6.87	5.04
1437349_at	8.23	8.31	9.43	9.94	9.86	8.13
1431308_at	2.86	3.17	3.98	4.76	4.69	3.04
1429623_at	5.88	5.62	7.12	7.45	7.46	5.65
1417495_x_at	2.29	2.54	3.75	4.31	4.18	2.53
1459849_x_at	1.99	2.15	3.16	3.89	3.62	1.95
1447546_s_at	2.84	2.38	3.7	4.67	4.43	2.73
1422381_at	2.75	3.01	3.94	4.62	4.33	2.77
1429629_at	2.64	2.46	3.7	4.2	4.22	2.56
1421206_at	2.99	3.12	4.25	4.91	4.8	3.22
1452549_at	2.86	2.63	4.09	4.38	4.54	2.73
1437183_at	4.34	4.41	5.69	6.21	6.21	4.43
1424102_at	7.66	7.67	8.84	9.35	9.26	7.5
1453150_at	2.95	3.16	4.3	4.92	4.9	3.12
1456756_at	4.62	4.89	6.11	6.53	6.64	4.87
1440638_at	2.41	2.44	3.61	4.22	4.09	2.32
1428270_at	6.31	6.2	7.25	8.18	8.04	6.31
1443083_at	4.92	4.79	6.2	6.56	6.5	4.72
1454551_at	2.34	2.37	3.73	4.23	4.24	2.55
1447165_at	2.61	2.68	3.72	4.44	4.28	2.7
1437138_at	2.3	2.39	3.6	4.02	3.96	2.31
1419885_at	2.99	2.82	3.9	4.65	4.65	2.8
1421815_at	5.84	5.62	6.67	7.09	7.21	5.58
1416114_at	2.5	2.48	3.92	4.55	4.42	2.71
1447304_at	3.11	2.89	4.16	4.68	4.55	2.89
1445873_at	3.47	3.51	4.75	5.1	5.25	3.47
1449536_at	3.98	3.98	5.2	5.56	5.66	3.75
1459601_at	2.12	2.28	3.54	3.93	3.9	2.06
1458425_at	3.65	3.76	5	5.48	5.48	3.89
1427026_at	2.51	2.52	3.4	4.11	4.04	2.46
1422496_at	2.7	2.67	3.63	4.47	4.39	2.75
1417799_at	4.18	4.23	5.25	5.74	5.73	4.28
1419264_at	4.78	5.1	5.98	6.51	6.45	4.58
1442491_at	2.47	2.69	3.61	4.18	4.1	2.47
1430612_at	3.45	4.06	4.93	5.3	5.21	3.53
1440488_at	2.68	2.64	3.79	4.5	4.3	2.52
1431892_a_at	3.96	3.96	5.31	5.76	5.52	4
1441458_at	4	4.03	5.23	5.84	5.78	4.01
1436148_at	2.22	2.28	3.38	3.93	3.92	2.13
1439364_a_at	3.66	3.49	4.72	5.5	5.39	3.62
1433359_at	3.21	3.49	4.69	5.31	5.17	3.64
1453252_at	5.19	5.06	6.29	6.67	6.72	4.53
1427719_s_at	2.52	2.48	3.75	4.37	4.27	2.51
1434258_s_at	5.86	5.97	6.92	7.32	7.16	5.83
1455992_at	6.42	6.22	7.65	7.97	7.9	6.22
1425179_at	8.21	8.45	9.76	10.02	9.82	8.25
1438681_at	5.32	5.62	6.61	7.17	7.26	5.46
1442967_at	2.97	3.05	4.19	4.81	4.71	3.11
1420181_at	3.61	3.57	4.82	5.38	5.41	3.51
1434649_at	7.6	7.68	8.89	9.35	9.42	7.59
1438965_x_at	2.25	2.27	3.53	4.06	3.98	2.26
1428045_a_at	6.25	6.15	7.64	7.87	8.05	6.25
1450876_at	2.56	2.15	3.25	3.91	3.86	1.89
1428100_at	7.71	7.9	8.91	9.39	9.23	7.37
1457538_at	2.56	2.45	3.71	4.26	4.15	2.36
1421752_a_at	3.32	3.1	4.22	5.42	5.93	3.61
1456786_at	2.02	2.02	3.28	3.94	3.71	2.07
1421452_at	4.06	4.44	5.63	5.88	5.92	4.02
1420945_at	5.82	5.5	6.56	7.51	7.14	5.45
1428283_at	3.69	3.71	5.01	5.58	5.54	3.65
1432977_at	2.48	2.28	3.58	4.12	3.96	2.2
1425358_at	4.48	4.03	6.01	6.12	6.07	4.7
1427762_x_at	5.44	5.77	6.67	7.4	7.24	5.87
1457910_at	2.44	2.71	3.72	4.16	4.2	2.59
1459211_at	3.31	3.14	4.23	4.79	4.87	3.03
1450870_at	3.2	3.61	4.37	5.13	4.91	3.3
1417883_at	9.43	9.68	10.7	11.3	10.8	9.34
1419487_at	3.62	3.54	4.92	5.28	5.24	3.69
1442005_at	3.25	2.83	4.28	4.87	4.77	3
1429094_at	5.54	5.5	6.78	6.94	6.99	5.13
1423361_at	8.61	8.63	9.71	10.37	10.31	8.68
1456892_at	3.29	3.48	4.94	5.34	5.21	3.54
1458133_at	3.03	3.07	4.08	4.56	4.7	2.96
1445542_at	3.25	2.71	4.26	4.58	4.82	2.64
1437575_at	2.04	2.03	3.27	3.85	3.66	2.04
1448601_s_at	4.03	4.08	5.34	5.93	6.01	4.23
1459391_at	2.63	2.49	3.81	4.31	4.3	2.51
1449042_at	8.49	8.41	9.86	10.23	10.1	8.3
1445965_at	2.29	2.46	3.78	4.33	4.32	2.54
1448643_at	9.66	9.72	10.97	11.57	11.48	9.75
1445981_at	2.67	2.85	3.84	4.57	4.59	2.72
1454605_a_at	6.69	6.91	7.9	8.52	8.44	6.74
1429875_at	2.27	2.31	3.24	3.93	4.04	2.09
1423505_at	3.64	3.91	4.79	5.25	5.26	3.57
1444552_at	3.19	3.35	4.51	5.08	5.06	3.31
1419302_at	3.54	3.35	4.75	5.12	5.31	3.39
1419415_a_at	4.96	4.95	6.14	6.84	6.8	4.92
1459514_at	3.46	3.41	4.72	5.27	5.27	3.64
1428200_a_at	3.73	3.78	5.08	5.61	5.48	3.79
1443086_at	5.04	5.23	6.87	6.51	6.21	4.63
1442373_at	2.78	2.95	4.02	4.67	4.54	2.64
1424082_at	6.42	6.52	7.81	8.07	8.18	6.34
1416776_at	2.86	2.86	4.25	4.7	4.75	2.93
1451461_a_at	7.21	7.06	7.51	8.92	9.15	6.99
1426331_a_at	3.93	4.39	5.47	6.43	6.75	4.49
1432852_at	2.51	2.45	3.69	4.24	4.12	2.48
1427228_at	4.38	4.17	5.59	6.27	6.16	4.59
1439995_at	6.39	7.03	8.47	8.81	8.9	7.29
1416435_at	5.11	4.96	6.07	6.66	6.65	5.03
1426939_at	7.09	7.28	8.74	8.94	8.75	7.19
1423986_a_at	11.63	11.44	12.69	13.63	13.43	11.81
1424877_a_at	8.32	8.38	9.81	9.89	9.7	8.17
1441062_at	5.07	5.13	6.28	6.98	6.62	4.87
1453353_at	2.58	2.69	3.83	4.29	4.54	2.42
1429755_a_at	3.04	3.17	4.31	4.76	4.86	3.18
1424193_at	6.96	7.15	8.21	8.6	8.4	6.81
1430075_at	6.66	6.3	7.8	8.26	8.13	6.44
1438990_x_at	2.3	2.28	3.59	4.27	4.05	2.26
1430975_at	2.34	2.45	3.5	4.06	4.08	2.4
1447333_at	2.56	2.7	3.73	4.43	4.24	2.45
1454614_at	7.8	7.79	9.13	9.5	9.5	7.87
1418273_a_at	12.01	11.93	13.22	13.88	13.84	12.1
1444599_at	2.45	2.59	4.09	4.31	4.09	2.53
1416265_at	4.96	5.34	6.27	6.81	6.7	4.95
1442853_at	3.11	3.06	4.45	4.94	4.69	3.02
1449441_a_at	6.34	6.19	7.74	8.12	8.19	6.38
1438217_at	2.51	2.45	3.61	4.32	4.16	2.43
1457842_at	5.2	5.16	6.13	7.04	7.01	5.15
1445067_at	4.31	4.12	5.47	5.85	5.89	4.17
1421287_a_at	5.5	5.6	6.72	7.21	7.59	5.63
1421196_at	3.89	3.88	4.91	5.75	5.56	3.79
1428315_at	9.84	10.03	11.15	11.56	11.28	9.79
1426203_at	3.06	3.17	4.46	4.89	4.7	3.05
1431481_at	3.58	3.51	4.8	5.27	5.21	3.54
1416822_at	3.75	3.92	5.42	5.79	5.87	4.11
1432120_at	2.79	2.78	4.26	4.45	4.54	2.79
1417880_at	2.67	2.76	3.95	4.35	4.34	2.66
1422666_at	3.93	4.06	5.27	5.79	5.89	3.87
1444879_at	2.66	2.34	3.84	3.97	4.11	2.52
1434724_at	5.31	5.73	7.02	7.27	7.05	5.2
1455458_x_at	7.42	7.37	8.56	9.06	9.18	7.4
1429804_at	5.11	4.99	6.3	6.83	6.82	5
1432119_at	2.2	2.28	3.39	4	3.94	2.33
1422253_at	3.17	3.31	4.39	4.86	4.84	2.93
1450871_a_at	8.62	8.89	10.09	10.34	10.41	8.74
1442332_at	5.54	5.38	6.77	7.19	7.19	5.36
1420800_a_at	4.4	4.08	5.63	6.05	6.09	4.32
1454248_at	3.76	3.99	5.06	5.71	5.69	3.77
1418255_s_at	6.64	7.29	8.33	8.92	8.87	6.93
1460616_at	2.77	2.7	3.84	4.28	4.28	2.3
1456886_at	4.94	4.92	6.05	6.7	6.58	4.76
1439584_at	3.71	3.69	4.89	5.42	5.37	3.56
1443462_at	2.28	2.43	3.71	4.15	4.17	2.16
1447498_at	2.21	2.12	3.48	3.97	3.91	2.19
1435754_at	6.37	6.35	7.49	7.96	8.13	6.05
1459148_at	2.8	2.61	4.2	4.6	4.63	2.92
1441977_at	3.99	3.97	4.87	5.38	5.58	3.82
1436011_at	5.13	5.53	7.06	6.93	6.94	5.4
1439971_at	2.77	2.74	3.96	4.37	4.41	2.75
1450683_at	3.87	3.84	5.13	5.41	5.45	3.66
1428678_s_at	6.32	6.5	7.39	8.05	7.98	6.3
1450315_at	3.98	3.77	4.94	5.41	5.46	3.76
1451121_a_at	9.24	9.23	10.34	10.99	10.94	9.18
1442796_at	2.5	2.56	3.69	4.39	4.17	2.51
1450944_at	4.03	4.26	5.41	6.03	6.03	4.27
1447479_at	2.85	2.82	3.99	4.62	4.51	2.73
1452122_at	7.64	7.9	8.96	9.03	8.94	7.27
1447427_at	2.92	2.81	3.9	4.48	4.68	2.72
1417913_at	8.27	8.34	9.55	10.22	10.09	8.41
1445247_at	2.83	2.76	4.13	4.59	4.74	2.68
1428857_at	6.84	6.95	8.14	8.49	8.41	6.57
1457694_at	3.16	3.26	4.28	5.01	4.95	3.21
1436300_at	4.35	4.46	5.58	5.85	6.04	4.34
1453669_at	2.33	2.51	3.78	4.16	3.84	2.31
1432933_at	2.42	2.43	3.69	4.08	4.11	2.36
1460506_s_at	10.75	10.73	11.76	12.31	12.2	10.58
1437160_at	2.34	2.29	3.54	4.02	3.98	2.28
1448367_at	3.26	3.37	4.46	4.81	4.8	3.15
1427027_a_at	9.26	9.37	10.76	10.98	11.12	9.27
1441762_at	4.51	4.66	5.53	6.28	6.38	4.57
1418946_at	7.73	7.87	8.94	9.11	9.01	7.37
1441535_at	2.99	2.99	4.44	5.1	4.82	3.04
1452829_at	8.14	8.73	9.87	9.78	9.98	8.15
1417848_at	2.72	2.79	3.96	4.4	4.34	2.79
1450200_s_at	4.95	4.6	5.85	6.68	6.55	4.71
1446905_at	2.9	2.77	3.75	4.44	4.18	2.64
1458596_at	3.65	3.71	5.01	5.73	5.76	4.01
1444142_at	3.17	3.38	4.15	5.03	5.07	3.26
1433139_at	2.95	3.13	4.06	4.58	4.64	2.82
1436070_at	4.16	4.81	5.72	6.42	6.67	4.51
1419909_at	6.84	6.88	8.08	8.33	8.24	6.43
1423324_at	8.74	8.82	10	10.56	10.32	8.63
1427830_at	2.69	2.55	3.91	4.36	4.12	2.43
1435971_at	3.21	3.23	4.46	5.24	5.03	3.39
1416647_at	6.29	6.32	7.32	8.13	7.81	6.2
1446979_at	3.5	3.61	4.82	5.57	5.44	3.73
1444276_at	2.97	2.89	3.96	4.7	4.66	3.03
1447327_at	3.18	3.13	4.3	4.8	4.78	3.05
1459690_at	2.9	2.83	4.53	4.53	4.66	2.8
1428172_at	5.91	6.15	7.09	7.67	7.51	5.76
1451587_a_at	8.65	8.5	9.7	10.38	10.12	8.53
1424408_at	4.69	4.64	5.81	6.22	6.14	4.34
1436211_at	5.01	5.15	6.25	6.86	6.68	5.01
1457046_s_at	2.36	2.35	3.55	4.14	4.05	2.35
1421279_at	3.36	3.46	4.64	5.11	5.08	3.69
1459417_at	3.41	3.54	4.52	5.19	5.17	3.48
1458375_at	2.71	2.81	3.84	4.35	4.43	2.74
1450706_a_at	8.44	8.25	9.49	10	9.97	8.19
1445724_at	3.9	3.8	5.33	5.87	5.73	3.86
1452218_at	5.29	5.3	6.3	7.09	6.69	5.22
1422311_a_at	6.11	6.22	7.51	8.03	8.12	6.29
1442785_at	3.01	3.04	4.31	4.78	4.8	3.03
1432365_a_at	3.07	3.16	4.57	5.03	5.1	3.31
1427789_s_at	3.08	3.12	4.1	4.66	4.57	2.96
1425850_a_at	7.96	7.89	9.22	9.87	9.53	7.8
1416739_a_at	5.06	4.58	6.16	6.66	6.36	4.74
1427163_at	6.9	6.96	8.15	8.52	8.54	6.78
1460050_x_at	5.81	5.85	7.17	7.56	7.59	5.68
1448264_a_at	11.14	11.07	12.27	12.93	12.9	11.21
1454227_at	3.76	3.69	5.54	5.78	5.62	3.91
1459951_at	3.41	3.26	4.53	5.14	5.06	3.3
1439097_at	3.91	3.67	5.21	5.41	5.28	3.92
1423950_at	3.49	3.41	4.75	5.17	5.11	3.46
1424890_at	2.5	2.54	3.99	4.33	4.44	2.77
1417503_at	9.3	9.28	10.51	11.11	11.03	9.33
1420929_at	3.43	3.57	4.73	5.17	5.18	3.4
1459831_s_at	2.13	2.2	3.3	3.79	3.74	2.09
1428008_at	2.1	2.24	3.47	3.96	3.89	2.13
1435825_at	2.79	2.83	4	4.66	4.42	2.76
1444209_at	2.57	2.61	3.54	4.37	4.41	2.57
1429665_at	3.95	4.28	5.15	5.99	5.8	3.77
1447849_s_at	4.06	3.8	6	6.54	6.01	4.75
1455790_at	6.53	6.92	8.37	8.34	8.45	6.62
1446412_at	2.56	2.46	3.43	4.15	4.15	2.45
1460115_at	5.1	5.31	6.09	6.88	6.86	5.23
1421748_a_at	4.91	4.62	5.8	6.57	6.43	4.7
1422030_at	2.89	2.66	4.05	4.59	4.58	2.85
1437855_at	2.34	2.23	3.56	4.02	3.89	2.28
1419939_at	4.52	4.49	5.7	6.28	6.41	4.48
1422562_at	6.41	6.01	7.39	8.8	8.63	6.71
1430955_at	3.18	3.09	4.44	5.25	5.06	3.06
1447629_at	2.25	2.13	3.49	4.11	3.92	2.2
1432463_at	2.28	2.34	3.58	4.26	4.19	2.21
1428927_at	6.52	6.61	7.76	7.94	7.92	6.29
1452972_at	6.05	6.11	7.39	7.88	7.81	6.07
1451413_at	7.13	7.35	8.45	9.29	8.96	7.52
1416330_at	9.59	9.37	10.73	11.17	10.97	9.37
1419266_at	8.48	8.59	9.76	10.68	10.44	8.78
1455692_x_at	7.66	8.15	9.39	10.26	10.16	8.04
1431543_at	3.05	3.16	4.28	4.96	4.95	3.02
1436275_at	3.6	3.75	4.92	5.73	5.58	3.87
1416162_at	8.51	8.54	9.76	10.34	10.33	8.57
1455081_at	5.5	5.53	6.84	7.12	7.19	5.34
1417622_at	7.18	7.55	8.49	8.75	8.76	7.01
1435161_at	5.25	5.18	6.12	6.82	6.64	5.03
1433205_at	4.5	4.32	6.06	6.24	6.29	4.74
1432946_at	3.42	3.24	4.74	5.12	5.15	3.31
1433138_at	4.37	4.82	5.64	6.27	6.51	4.61
1430603_at	2.15	1.98	3.4	3.99	3.94	2.02
1449364_at	3.74	3.91	5.21	5.74	5.62	3.87
1440165_at	6.81	6.56	8.25	8.32	8.42	6.65
1440840_at	2.6	2.9	4	4.48	4.5	2.68
1454050_at	2.84	2.72	4.14	4.87	4.61	2.65
1416506_at	10.74	10.82	12.05	12.55	12.51	10.73
1449156_at	7.14	7.28	8.57	9.3	9.27	7.23
1445931_at	2.64	2.79	3.74	4.26	4.39	2.64
1438431_at	2.25	2.21	3.57	4.08	3.96	2.29
1459884_at	3.88	3.65	5.12	5.59	5.48	3.79
1454367_at	5.8	5.77	6.9	7.47	7.39	5.68
1437393_at	6.99	7.38	8.66	8.29	7.98	6.6
1431941_at	3.32	3.73	4.62	5.23	5.15	3.33
1443565_at	2.15	2.26	3.35	3.83	4.06	2.15
1441862_at	2.99	3.03	4.12	4.89	4.82	3.21
1420190_at	2.48	2.42	3.77	4.06	4.25	2.51
1456505_at	3.65	3.39	5.04	5.31	5.24	3.73
1442004_at	4.33	4.22	5.37	5.91	5.86	3.92
1451515_s_at	3.1	2.85	3.93	4.68	4.79	2.99
1458502_at	3.02	3.35	4.29	4.94	4.81	3.14
1433980_at	7.31	7.18	8.45	9.13	9.03	7.11
1421822_at	2.71	2.7	3.97	4.39	4.42	2.59
1432634_at	2.86	2.68	3.88	4.32	4.42	2.8
1416337_at	9.59	9.59	10.69	11.51	11.31	9.68
1446300_at	3.19	3.13	4.4	5.07	5.23	3.45
1436702_at	3.77	3.82	4.8	5.66	5.45	3.8
1452416_at	4.1	4.24	5.93	5.77	5.86	4.27
1440531_at	2.62	2.72	3.82	4.33	4.45	2.59
1431523_at	3.24	3.09	4.4	4.89	5.05	3.32
1422955_at	3.4	3.89	5.04	5.36	5.51	3.46
1440350_at	2.65	2.85	3.94	4.49	4.56	2.7
1437140_at	3.18	3.13	4.4	4.86	4.85	3.05
1427780_at	2.78	2.84	4.11	4.53	4.43	2.94
1418236_s_at	6.92	6.95	8.55	8.68	8.55	6.87
1423694_at	7.85	7.98	9.21	9.6	9.46	7.76
1442212_at	2.46	2.68	3.72	4.24	4.59	2.54
1445263_at	3.64	3.69	4.99	5.27	5.44	3.78
1418125_at	6.65	6.81	8.14	8.34	8.31	6.7
1439260_a_at	2.39	2.16	3.69	4.05	4.01	2.2
1433162_at	3.32	3.32	4.31	4.99	4.98	3.37
1457681_at	3.26	3.28	4.47	5.18	5.06	3.33
1423258_at	2.54	2.46	3.69	4.45	4.23	2.39
1444069_at	3.91	3.87	5.28	5.86	5.82	3.95
1455820_x_at	6.83	7.11	7.95	8.47	8.46	6.61
1423465_at	6.64	6.63	7.77	8.12	8.19	6.47
1432094_a_at	7.1	7.07	8.22	8.77	8.62	6.96
1417789_at	2.45	2.82	3.75	4.3	4.29	2.55
1444964_at	3.21	3.12	4.15	4.94	4.9	2.87
1440670_at	3	3.35	4.25	4.85	4.99	2.9
1437218_at	2.64	2.77	3.76	4.53	4.46	2.69
1445124_at	3.22	3.19	4.18	4.81	4.72	3.13
1454990_at	7.39	7.45	8.83	9.07	8.93	7.14
1433103_at	2.98	2.94	4.08	4.84	4.7	3.01
1424354_at	4.2	4.07	5.34	6.18	5.72	4.06
1455341_at	8.13	8.39	9.62	10.08	9.97	8.21
1437246_x_at	10.59	10.57	11.81	12.52	12.46	10.59
1455265_a_at	7.6	7.15	9.24	9.17	9.16	7.65
1446524_at	2.15	2.3	3.51	3.89	3.91	2.25
1448265_x_at	4.73	4.16	6.51	6.55	6.08	4.87
1455277_at	3.22	2.95	3.94	4.57	4.75	2.9
1453576_at	5.61	5.56	6.98	7.43	7.22	5.59
1418211_at	2.98	2.92	4.31	4.81	4.9	3.14
1416286_at	2.5	2.67	3.67	4.24	4.16	2.38
1456453_at	4.84	5.49	6.65	7.07	7.04	5
1455998_at	4.57	4.18	5.9	5.91	6.01	4.47
1421328_at	2.44	2.46	3.86	4.3	4.31	2.52
1434608_at	6.81	6.94	8.4	8.65	8.48	6.94
1444761_at	3.13	3.15	4.38	4.78	5.05	3.14
1421124_at	3.98	4.28	5.34	5.84	5.6	3.8
1429942_at	5.35	5.21	6.66	7.29	7.04	5.26
1427077_a_at	8.08	7.97	9.13	9.63	9.52	7.92
1451163_at	8.16	8.06	9.41	9.92	9.85	8.07
1444855_at	3.5	3.6	4.58	5.01	5.44	3.4
1451302_at	7.13	7.06	8.12	8.91	8.66	6.95
1435772_at	6.86	6.89	8.08	8.53	8.52	6.62
1416662_at	4.9	4.89	6.04	6.6	6.6	5.06
1417512_at	3.19	3.44	4.27	5.28	5.15	3.46
1432344_a_at	5.6	5.03	6.65	7.19	7.11	5.34
1456647_a_at	2.8	2.82	3.99	4.56	4.43	2.73
1429540_at	3.14	2.81	4.54	4.97	4.78	3.08
1439587_at	3.52	3.39	4.49	5.08	5.05	3.35
1443539_at	3.12	3.15	4.5	5.08	4.98	3.16
1441199_at	2.89	2.66	4.01	4.57	4.49	2.77
1429748_at	2.06	2.04	3.36	3.75	3.77	2.04
1428332_at	5.72	5.37	6.39	7.42	7.53	5.58
1417370_at	4.24	4.06	5.24	5.93	6.08	4.01
1422861_s_at	2.43	2.32	3.65	4.46	4.15	2.58
1427930_at	5.25	5.29	6.43	6.99	6.91	4.94
1429195_at	4.44	4.19	5.46	5.99	6.18	4.28
1444648_at	3.88	3.86	4.88	5.75	5.64	3.84
1422615_at	6.31	6.91	7.89	8.57	8.57	6.97
1425697_at	3.09	3	4.34	4.92	4.63	3.12
1441377_at	3.42	3.14	4.45	5.06	5.06	3.21
1452490_a_at	6.53	6.36	7.62	8.1	8.09	6.31
1421284_at	4.74	4.64	6.19	7.03	6.65	4.96
1436945_x_at	6.24	6.31	7.47	8.17	8.08	6.39
1436334_at	5.66	5.53	6.63	6.94	7.04	5.5
1441146_at	2.96	2.79	4.27	4.63	4.68	2.79
1429528_at	9.01	9.04	10.24	10.63	10.55	8.79
1444043_at	2.63	2.89	3.84	4.3	4.22	2.42
1432800_at	3.22	2.9	4.03	4.7	4.89	3.02
1446315_at	3.29	3.33	4.54	5.09	5.06	3.22
1429534_a_at	8.53	8.74	9.84	10.27	10.07	8.31
1422019_at	2.39	2.47	3.49	3.99	4.05	2.14
1428012_at	2.51	2.51	3.75	4.35	4.41	2.49
1422512_a_at	7.14	6.5	8.18	8.98	8.58	7.02
1459612_at	3.02	2.96	4.05	4.64	4.68	2.98
1416366_at	10.41	10.46	11.55	12.22	12.1	10.45
1429424_at	2.8	2.95	3.92	4.64	4.62	2.76
1452171_at	8.56	8.75	10.19	10.31	10.03	8.38
1421864_at	4.66	4.6	5.92	6.44	6.4	4.64
1445243_at	4.22	4.34	5.39	5.7	6.11	3.96
1426167_a_at	7.88	7.86	9.12	9.59	9.42	7.67
1429315_at	6.56	6.36	7.68	8.38	8.39	6.71
1458892_at	2.77	3.12	3.87	4.74	4.66	3.01
1440756_at	4.6	4.44	5.6	5.98	6.07	4.25
1416091_at	5.89	6.63	7.1	7.82	7.82	5.86
1451439_at	6.49	6.54	8	8.25	8.34	6.58
1419526_at	5.06	4.99	6.25	6.93	7.03	5.09
1460194_at	6.18	6.23	7.38	8.24	8.08	6.54
1452770_at	8.05	7.91	9.22	9.82	9.52	8.04
1416065_a_at	7.46	7.47	8.68	9.43	9.4	7.56
1451658_a_at	8.12	7.85	9.23	9.79	9.85	7.86
1425388_a_at	4.06	4.01	5.32	5.79	5.88	3.85
1426794_at	8.21	8.5	9.75	9.4	9.63	7.72
1418569_at	3.01	2.78	4.19	4.75	4.6	2.82
1436570_at	4.65	5.21	6.14	7.22	7.59	4.83
1429944_at	2.64	2.39	3.88	4.4	4.41	2.48
1422563_at	8.5	8.56	9.73	10.31	10.25	8.56
1416518_at	3.07	3.43	4.41	4.98	4.84	3.1
1420582_at	2.61	2.47	4	4.33	4.26	2.35
1448690_at	2.54	2.58	3.9	4.37	4.27	2.45
1459654_at	3.43	3.35	4.65	5.03	5.23	3.33
1428147_at	7.25	7.32	8.44	8.83	9.24	7.11
1422741_a_at	4.04	3.68	5.17	5.75	5.45	4.37
1447773_x_at	3.83	3.72	4.82	5.43	5.35	3.61
1451079_at	5.15	5.36	6.67	6.94	6.7	4.99
1430646_at	3.98	3.99	5.46	5.54	5.62	3.73
1449651_x_at	3.5	3.21	4.8	5.22	5.34	3.4
1426559_at	8.97	8.87	10.12	10.62	10.54	8.86
1448710_at	7.04	7.1	7.51	9.67	9.4	7.12
1434579_x_at	10.42	10.36	11.71	11.99	12.02	10.28
1436919_at	7.55	7.6	8.92	9.25	9.71	7.49
1437508_at	4.55	4.67	5.51	6.71	6.45	4.75
1452152_at	9.33	9.55	10.81	11.2	11.13	9.24
1429560_at	5.53	5.15	6.49	7.44	7.05	5.48
1433546_at	5.63	6.01	6.78	7.22	7.12	5.58
1419955_at	3.5	3.31	4.52	5.19	5.07	3.29
1452739_at	6.45	6.38	7.66	8.22	8.06	6.51
1445568_at	3.21	3.06	4.39	5.08	4.99	3.21
1417460_at	10.37	10.26	11.38	12.3	12.65	10.59
1458998_at	3.96	3.73	4.98	5.8	5.53	3.89
1452060_a_at	6.3	6.4	7.41	7.87	8.06	6.23
1455857_a_at	4.66	4.39	6.17	6.57	6.28	4.54
1429199_s_at	7.65	7.5	8.6	9.36	9.31	7.52
1448681_at	5.51	5.69	6.98	7.26	6.91	5.5
1423937_at	6.68	6.68	7.97	8.51	8.32	6.77
1446230_at	2.75	2.86	4.01	4.58	4.53	2.57
1439079_a_at	5.04	4.77	6.33	6.96	6.67	5.09
1426761_at	7.68	7.74	8.84	9.19	9.16	7.51
1438816_at	4.57	4.35	6.35	6.5	6.09	4.93
1425613_at	3.95	4.17	5.05	5.74	5.66	3.93
1444708_at	2.17	2.13	3.41	3.89	3.77	2.14
1460445_at	6.5	6.55	7.76	8.21	8.19	6.42
1448618_at	7.05	7.02	7.92	8.65	8.47	6.92
1424262_at	6.48	6.41	7.77	8.34	8.33	6.69
1424902_at	3.24	3.43	4.59	4.87	5.27	3.58
1417804_at	2.91	3.05	4.31	4.8	5.03	3.09
1455583_at	4.74	4.75	6.11	6.61	6.56	4.69
1417703_at	3.14	2.92	4.24	4.87	4.77	3.01
1455401_at	5.07	5.25	6.64	6.89	7.12	5.14
1450523_at	4.15	4.22	5.38	6.05	6.01	4.17
1434863_at	4.4	4.77	5.27	5.93	6.02	4.18
1427264_at	2.26	2.48	3.79	4.23	4.11	2.59
1437250_at	2.81	2.85	3.95	4.56	4.49	2.76
1427957_at	2.72	2.8	4.07	4.56	4.63	2.62
1443241_at	4.5	3.99	5.42	5.86	5.89	4.14
1427976_at	2.25	2.47	3.39	3.82	3.9	2.27
1460562_at	6.92	6.98	8.05	8.44	8.2	6.78
1454100_at	2.27	2.43	3.42	4.17	4.1	2.28
